cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.5	6	400	50	51646000
-0.3	6	400	50	51646000
-0.1	6	400	50	51646000
-1	6	400	25	50638000
-0.5	6	400	25	50638000
-0.3	6	400	25	50638000
-0.1	6	400	25	50638000
-1	6	400	10	51022000
-0.5	6	400	10	51022000
-0.3	6	400	10	51022000
-0.1	6	400	10	51022000
-1	6	400	5	51260000
-0.5	6	400	5	51260000
-0.3	6	400	5	51260000
-0.1	6	400	5	51260000
-1	6	200	500	51196000
-0.5	6	200	500	51196000
-0.3	6	200	500	51196000
-0.1	6	200	500	51196000
-1	6	200	400	51250000
-0.5	6	200	400	51250000
-0.3	6	200	400	51250000
-0.1	6	200	400	51250000
-1	6	200	300	52214000
-0.5	6	200	300	52214000
-0.3	6	200	300	52214000
-0.1	6	200	300	52214000
-1	6	200	200	50500000
-0.5	6	200	200	50500000
-0.3	6	200	200	50500000
-0.1	6	200	200	50500000
-1	6	200	50	51622000
-0.5	6	200	50	51622000
-0.3	6	200	50	51622000
-0.1	6	200	50	51622000
-1	6	200	25	50596000
-0.5	6	200	25	50596000
-0.3	6	200	25	50596000
-0.1	6	200	25	50596000
-1	6	200	10	51014000
-0.5	6	200	10	51014000
-0.3	6	200	10	51014000
-0.1	6	200	10	51014000
-1	6	200	5	51258000
-0.5	6	200	5	51258000
-0.3	6	200	5	51258000
-0.1	6	200	5	51258000
-1	6	100	500	51196000
-0.5	6	100	500	51196000
-0.3	6	100	500	51196000
-0.1	6	100	500	51196000
-1	6	100	400	51250000
-0.5	6	100	400	51250000
-0.3	6	100	400	51250000
-0.1	6	100	400	51250000
-1	6	100	300	52214000
-0.5	6	100	300	52214000
-0.3	6	100	300	52214000
-0.1	6	100	300	52214000
-1	6	100	200	50500000
-0.5	6	100	200	50500000
-0.3	6	100	200	50500000
-0.1	6	100	200	50500000
-1	6	100	50	50806000
-0.5	6	100	50	50806000
-0.3	6	100	50	50806000
-0.1	6	100	50	50806000
-1	6	100	25	49936000
-0.5	6	100	25	49936000
-0.3	6	100	25	49936000
-0.1	6	100	25	49936000
-1	6	100	10	50948000
-0.5	6	100	10	50948000
-0.3	6	100	10	50948000
-0.1	6	100	10	50948000
-1	6	100	5	51302000
-0.5	6	100	5	51302000
-0.3	6	100	5	51302000
-0.1	6	100	5	51302000
-1	6	50	500	51196000
-0.5	6	50	500	51196000
-0.3	6	50	500	51196000
